DNS	﻿A.D.N.
umsetzen	permuter
umstellen	permuter
vertauschen	permuter
Durchdringbarkeit	perméabilité
Durchlässigkeit	perméabilité
Permeabilität	perméabilité
durchlässig	perméable
empfänglich	perméable
permeabel	perméable
undicht	perméable
bösartig	pernicieux
gefährlich	pernicieux
perniziös	pernicieux
schlecht	pernicieux
schädlich	pernicieux
ungesund	pernicieux
verderblich	pernicieux
Bösartigkeit	perniciosité
Peroxid	peroxyde
Peroxyd	peroxyde
rechtwinkelig	perpendiculaire
rechtwinklig	perpendiculaire
senkrecht	perpendiculaire
Lot	perpendiculaire
Senkrechte	perpendiculaire
im rechten Winkel	perpendiculairement
entschlußlos	perplexe
hilflos	perplexe
perplex	perplexe
ratlos	perplexe
unschlüssig	perplexe
verblüfft	perplexe
verlegen	perplexe
Bestürzung	perplexité
Ratkeit	perplexité
Ratlosigkeit	perplexité
Ungewißheit	perplexité
Unschlüssigkeit	perplexité
Verlegenheit	perplexité
Verwirrung	perplexité
lebenslängliche Freiheitsstrafe	perpète
Begehung	perpétration
Verübung	perpétration
begehen	perpétrer
verüben	perpétrer
Verewigung	perpétuation
auf Lebenszeit	perpétuel
beständig	perpétuel
dauernd	perpétuel
endlos	perpétuel
ewig	perpétuel
fortdauernd	perpétuel
fortwährend	perpétuel
immerwährend	perpétuel
lebenslang	perpétuel
permanent	perpétuel
stet	perpétuel
ständig	perpétuel
unablässig	perpétuel
unendlich	perpétuel
ununterbrochen	perpétuel
andauernd	perpétuellement
dauernd	perpétuellement
ewig	perpétuellement
fortwährend	perpétuellement
ständig	perpétuellement
erhalten	perpétuer
fortbestehen lassen	perpétuer
fortpflanzen	perpétuer
für immer wachhalten	perpétuer
verewigen	perpétuer
Durchsuchung	perquisition
Haussuchung	perquisition
eine Durchsuchung vornehmen	perquisitionner
eine Haussuchung durchführen	perquisitionner
Außentreppe	perron
Freientreppe	perron
Freitreppe	perron
Treppe	perron
Bramsegel	perroquet
Papagei	perroquet
Pernod mit Pfefferminzsirup	perroquet
Kreuzmarssegel	perroquet de fougue
Papageienweibchen	perroquet femelle
Papageienweibchen	perruche
Schnatterente	perruche
Schnattergans	perruche
Schnatterliese	perruche
Sittich	perruche
Wellensittich	perruche
entreppeliese	perruche
Perücke	perruque
Zweitfrisur	perruque
Perückenmacher	perruquier
Perückenmacherin	perruquière
persisch	persan
Perser	persan
Persisch	persan
Persische	persan
Perserin	persane
altpersisch	perse
persisch	perse
Perser	perse
Faltladen	persienne
Klappladen	persienne
ausstellbarer Klappladen	persienne à litalienne
Persiflage	persiflage
Spott	persiflage
Spöttelei	persiflage
Verhöhnung	persiflage
persiflieren	persifler
spotten	persifler
spotten über	persifler
spötteln	persifler
verspotten	persifler
spöttisch	persifleur
Spötter	persifleur
Spötterin	persifleuse
Petersilie	persil
Kräutern und Knoblauch	persillade
Salatsauce mit gehackter Petersilie	persillade
angerichtet	persillé
bestreut	persillé
mit Petersilie	persillé
mit Petersilie bestreut	persillé
mit Petersilie zubereitet	persillé
zubereitet	persillé
persisch	persique
Andauern	persistance
Anhalten	persistance
Ausdauer	persistance
Beharren	persistance
Beharrlichkeit	persistance
Durchhaltevermögen	persistance
Fortbestehen	persistance
Fortdauer	persistance
Fortsetzung	persistance
Verharren	persistance
hartnäckiges Sichhalten	persistance
zähes Sichhalten	persistance
anhaltend	persistant
beharrlich	persistant
beständig	persistant
dauernd	persistant
fortdauernd	persistant
hartnäckig	persistant
lange andauernd	persistant
permanent	persistant
ständig	persistant
unablässig	persistant
ununterbrochen	persistant
andauern	persister
anhalten	persister
beharren	persister
behaupten	persister
bestehen auf	persister
bestehenbleiben	persister
bleiben bei	persister
festhalten an	persister
fortbestehen	persister
fortdauern	persister
hartnäckig halten	persister
nicht nachlassen	persister
sich zäh	persister
verharren	persister
Persona grata	persona grata
Persona non grata	persona non grata
Figur	personnage
Gestalt	personnage
Mensch	personnage
Menschenfigur	personnage
Menschengestalt	personnage
Person	personnage
Persönlichkeit	personnage
Rolle	personnage
angesehene Persönlichkeit	personnage
bedeutende Persönlichkeit	personnage
Bonze	personnage important
wichtige Persönlichkeit	personnage important
Beamte	personnage officiel
Funktionär	personnage officiel
Zentralfigur	personnage principal
den Verhältnissen des einzelnen anpassen	personnaliser
eine persönliche Note geben	personnaliser
einen persönlichen Anstrich geben	personnaliser
individuell gestalten	personnaliser
markieren	personnaliser
verkörpern	personnaliser
verleihen	personnaliser
Eigenart	personnalité
Personalität	personnalité
Persönlichkeit	personnalité
Wesen	personnalité
bedeutende Persönlichkeit	personnalité
bekannte Persönlichkeit	personnalité
prominente Persönlichkeit	personnalité
irgend jemand	personne
irgendwer	personne
jemand	personne
kein Mensch	personne
keiner	personne
ne niemand	personne
Frau	personne
Mensch	personne
Mädchen	personne
Person	personne
Eigenbrötler	personne  sauvage
Eigenbrötlerin	personne  sauvage
Flachskopf	personne aux cheveux de lin
Sachkenner	personne compétente
Betroffene	personne concernée
betroffene Person	personne concernée
Gebildete	personne cultivée
Gebildeter	personne cultivée
Gefühlsmensch	personne de cœur
Siebziger	personne de soixante-dix ans
Siebzigerin	personne de soixante-dix ans
Siebzigjährige	personne de soixante-dix ans
Siebzigjähriger	personne de soixante-dix ans
Suppenkasper	personne difficile
Suppenkasper	personne difficile sur la nourriture
Begabung	personne douée
Einheimische	personne du coin
Einheimische	personne du lieu
Senior	personne du troisième âge
Seniorin	personne du troisième âge
dynamische Person	personne dynamique
Vertriebene	personne déplacée
Vertriebener	personne déplacée
Betreffende	personne en question
Betreffender	personne en question
Betroffener	personne en question
betroffene Person	personne en question
exzentrischer Mensch	personne excentrique
Todeskandidat	personne fichue
Todeskandidatin	personne fichue
Verdiener	personne gagnant de l'argent
Spitzenkraft	personne hautement qualifiée
Beteiligte	personne impliquée
Beteiligter	personne impliquée
Blutschänder	personne incestueuse
Dussel	personne incompétente
Stümper	personne incompétente
Trottel	personne incompétente
Betrunkener	personne ivre
Frühaufsteher	personne matinale
Frühaufsteherin	personne matinale
Betreffende	personne mentionnée
Umstandskrämer	personne pointilleuse
Anwesende	personne présente
Beiwohnende	personne présente
Spitzenkraft	personne qualifiée
Finder	personne qui a trouvé
Finderin	personne qui a trouvé
Selbstabholer	personne qui cherche elle-même son courrier
Beiträger	personne qui contribue
Beiträgerin	personne qui contribue
Geber	personne qui contribue
Geberin	personne qui contribue
Spender	personne qui contribue
Spenderin	personne qui contribue
Vordermann	personne qui est devant
Gelegenheitsarbeiter	personne qui fait des petits boulots
Eskapist	personne qui fuit la réalité
Eskapistin	personne qui fuit la réalité
Frau	personne qui fuit la réalité
Träumer	personne qui fuit la réalité
Träumerin	personne qui fuit la réalité
Fixer	personne qui se pique
Drahtzieher	personne qui tire les ficelles
Finder	personne qui trouvera
Finderin	personne qui trouvera
Weltverbesserer	personne qui veut refaire le monde
Sicherheitsbeauftragte	personne responsable de la sécurité du travail
Sensualist	personne sensuelle
Sinnenmensch	personne sensuelle
Gefühlsmensch	personne sentimentale
Strafentlassene	personne sortant de prison
Strafentlassener	personne sortant de prison
Umstandskrämer	personne vétilleuse
Person	personne à charge
Unterhaltsberechtigte	personne à charge
abhängige Angehörige	personne à charge
unterhaltsberechtigter Familienangehörige	personne à charge
Senior	personne âgée
Seniorin	personne âgée
Eigen	personnel
Eigen-	personnel
Personal	personnel
Personal-	personnel
Privat	personnel
eigen	personnel
eigenhändig geschrieben	personnel
eigenständig	personnel
originell	personnel
persönlich	personnel
privat	personnel
Belegschaft	personnel
Belegschaftsstärke	personnel
Betriebsangehörige	personnel
Betriebsangehörigen	personnel
Dienstpersonal	personnel
Gefolgschaft	personnel
Gesamtbelegschaft	personnel
Hauspersonal	personnel
Personal	personnel
Werksangehörige	personnel
Büropersonal	personnel de bureau
Betriebsangehörigen	personnel de l'entreprise
Dienstpersonal	personnel de service
Erzieher	personnel enseignant
Lehrerkollegium	personnel enseignant
Lehrkräfte	personnel enseignant
Lehrkörper	personnel enseignant
Besatzung	personnel navigant
Flugzeugbesatzung	personnel navigant
Stammpersonal	personnel permanent
Fachkräfte	personnel qualifié
Fachpersonal	personnel qualifié
Stammpersonal	personnel stable
eigenständig	personnellement
persönlich	personnellement
was mich betrifft	personnellement
Personifikation	personnification
Personifizierung	personnification
Verkörperung	personnification
personifizieren	personnifier
verkörpern	personnifier
personifiziert	personnifié
perspektivisch	perspectif
Ausblick	perspective
Aussicht	perspective
Betrachtungsweise	perspective
Blick	perspective
Blickfeld	perspective
Blickpunkt	perspective
Blickwinkel	perspective
Durchblick	perspective
Erwartung	perspective
Fernblick	perspective
Fernsicht	perspective
Gesichtspunkt	perspective
Perspektive	perspective
Sicht	perspective
Standpunkt	perspective
Vorwegnahme	perspective
perspektivische Zeichnung	perspective
durchtrieben	perspicace
einsichtig	perspicace
erlesen	perspicace
scharfblickend	perspicace
scharfsichtig	perspicace
scharfsinnig	perspicace
scharfäugig	perspicace
schlau	perspicace
spitzfindig	perspicace
weitsichtig	perspicace
Geistesschärfe	perspicacité
Scharfblick	perspicacité
Scharfsichtigkeit	perspicacité
Scharfsinn	perspicacité
Scharfsinnigkeit	perspicacité
Schärfe	perspicacité
Vernunft	perspicacité
Weitsicht	perspicacité
Weitsichtigkeit	perspicacité
einreden	persuader
überreden	persuader
überreden zu	persuader
überzeugen	persuader
überreden zu	persuader de
sicher	persuadé
überredet	persuadé
überzeugt	persuadé
durchtrieben	persuasif
überredend	persuasif
überzeugend	persuasif
durchtrieben	persuasif de façon trompeuse
gerissen	persuasif de façon trompeuse
Überredung	persuasion
Überzeugen	persuasion
Überzeugung	persuasion
verfolgen	persécuter
jemanden bedrängen	persécuter quelqu'un
jemanden belästigen	persécuter quelqu'un
jemanden verfolgen	persécuter quelqu'un
Bedränger	persécuteur
Bedrücker	persécuteur
Verfolger	persécuteur
Verfolgung	persécution
Bedrängerin	persécutrice
Bedrückerin	persécutrice
Verfolgerin	persécutrice
verfolgt	persécuté
Verfolgter	persécuté
an Verfolgungswahn Leidender	persécuté
Verfolgte	persécutée
an Verfolgungswahn Leidende	persécutée
Ausdauer	persévérance
Beharrlichkeit	persévérance
Durchhaltevermögen	persévérance
Entschlossenheit	persévérance
Verbissenheit	persévérance
Zähigkeit	persévérance
ausdauernd	persévérant
beflissen	persévérant
beharrlich	persévérant
eifrig	persévérant
emsig	persévérant
fleißig	persévérant
strebsam	persévérant
verbissen	persévérant
beharren	persévérer
durchhalten	persévérer
fortführen	persévérer
fortsetzen	persévérer
verharren	persévérer
Abgang	perte
Ausfall	perte
Einbuße	perte
Elimination	perte
Fehlen	perte
Ruin	perte
Schaden	perte
Schwund	perte
Untergang	perte
Verderb	perte
Verderben	perte
Verlust	perte
Stimmenverlust	perte d'électorat
Bewußtlosigkeit	perte de connaissance
Erblindung	perte de la vue
Amnesie	perte de mémoire
Gedächtnisschwund	perte de mémoire
Gedächtnisstörung	perte de mémoire
Gewichtsverlust	perte de poids
Masseverlust	perte de poids
Verdienstausfall	perte de salaire
Blutverlust	perte de sang
Zeitverlust	perte de temps
Wertminderung	perte de valeur
Totalschaden	perte totale
Wärmeverluste	pertes calorifiques
Stimmenverlust	pertes d'électorat
Wärmeverluste	pertes de chaleur
Verdunstungsverlust	pertes par évaporation
Wärmeverluste	pertes thermiques
Angemessenheit	pertinence
Erheblichkeit	pertinence
Relevanz	pertinence
Richtigkeit	pertinence
Sachdienlichkeit	pertinence
Stichhaltigkeit	pertinence
Triftigkeit	pertinence
angebracht	pertinent
erheblich	pertinent
geeignet	pertinent
gescheit	pertinent
gut durchdacht	pertinent
klug	pertinent
passend	pertinent
relevant	pertinent
richtig	pertinent
sachbezogen	pertinent
sachdienlich	pertinent
scharfsinnig	pertinent
schlagend	pertinent
schlüssig	pertinent
stichhaltig	pertinent
treffend	pertinent
triftig	pertinent
zutreffend	pertinent
Durchfahrt	pertuis
Paß	pertuis
schmale Durchfahrt	pertuis
schmale Wasserstraße	pertuis
Unruhe stiftend	perturbateur
ruhestörend	perturbateur
störend	perturbateur
Ruhestörer	perturbateur
Störenfried	perturbateur
Unruhestifter	perturbateur
Aufregung	perturbation
Aufruhr	perturbation
Beeinträchtigung	perturbation
Desorganisation	perturbation
Durcheinanderbringen	perturbation
Gärung	perturbation
Störung	perturbation
Tumult	perturbation
Umwälzung	perturbation
Unordnung	perturbation
Unruhe	perturbation
Verwirrung	perturbation
Tonstörung	perturbation du son
Störungen	perturbations
Ruhestörerin	perturbatrice
Unruhestifterin	perturbatrice
beeinträchtigen	perturber
beunruhigen	perturber
durcheinanderbringen	perturber
sich störend auswirken auf	perturber
stören	perturber
desorganisiert	perturbé
durcheinander	perturbé
gestört	perturbé
ungeregelt	perturbé
vergißmeinnichtblau	pervenche
Immergrün	pervenche
Politesse	pervenche
abartig	pervers
abartig veranlagt	pervers
abnormal	pervers
böse	pervers
niederträchtig	pervers
pervers	pervers
unnatürlich	pervers
verderbt	pervers
verdorben	pervers
verkommen	pervers
widernatürlich	pervers
pervers Veranlagte	pervers
pervers Veranlagter	pervers
pervers Veranlagte	perverse
Perversion	perversion
Sittenlosigkeit	perversion
Verderbnis	perversion
Verderbtheit	perversion
Verfall	perversion
Verwilderung	perversion
Abartigkeit	perversité
Bosheit	perversité
Gemeinheit	perversité
Niedertracht	perversité
Perversion	perversité
Perversität	perversité
Unnatur	perversité
Verderbtheit	perversité
Verdorbenheit	perversité
Verkommenheit	perversité
entstellt	perverti
pervertiert	perverti
verdorben	perverti
verdreht	perverti
verfälscht	perverti
pervertieren	pervertir
verderben	pervertir
verschlechtern	pervertir
Pervertierung	pervertissement
Verfall	pervertissement
Verführung	pervertissement
Verführung zum Bösen	pervertissement
Bohren	perçage
Durchbohren	perçage
Durchbohrung	perçage
durchdringend	perçant
gellend	perçant
markerschütternd	perçant
scharf	perçant
scharfblickend	perçant
scharfsichtig	perçant
schneidend	perçant
schrill	perçant
stechend	perçant
Ahle	perçoir
Vorstecher	perçoir
Abwiegen	pesage
Wiegen	pesage
Wiegeplatz	pesage
schwer	pesamment
schwerfällig	pesamment
bedrückend	pesant
behäbig	pesant
bleiern	pesant
drückend	pesant
plump	pesant
schwer	pesant
schwerfällig	pesant
sperrig	pesant
Druck	pesanteur
Drücken	pesanteur
Plumpheit	pesanteur
Schwere	pesanteur
Schwerfälligkeit	pesanteur
Schwerkraft	pesanteur
Tölpelei	pesanteur
Tölpelhaftigkeit	pesanteur
Magendrücken	pesanteur d'estomac
abwiegen	peser
abwägen	peser
erwägen	peser
schwer sein	peser
sich überlegen	peser
taxieren	peser
wiegen	peser
wiegen sein	peser
überdenken	peser avec soin
gegeneinander abwägen	peser le pour et le contre
bedrängen	peser lourdement sur
schwerer wiegen als	peser plus que
Peseta	peseta
Pesete	peseta
Waagemeister	peseur
Peso	peso
Federwaage	peson à ressort
Mutterring	pessaire
Pessar	pessaire
Pessimismus	pessimisme
Schwarzmalerei	pessimisme
Schwarzseherei	pessimisme
düster	pessimiste
pessimistisch	pessimiste
schwarzseherisch	pessimiste
Pessimist	pessimiste
Pessimistin	pessimiste
Schwarzseher	pessimiste
Schwarzseherin	pessimiste
Aas	peste
Giftnudel	peste
Giftspritze	peste
Pest	peste
Beulenpest	peste bubonique
Beulenpest	peste noire
Schwarze Tod	peste noire
geifern	pester
schimpfen	pester
wettern	pester
fluchen	pester contre
gegen etwas Sturm laufen	pester contre
wettern gegen	pester contre
Pestizid	pesticide
Schädlingsbekämpfungsmittel	pesticide
Vertilgungsmittel	pesticide
durchseucht	pestiféré
Pestkranke	pestiféré
Pestkranker	pestiféré
Pesthauch	pestilence
abscheulicher Gestank	pestilence
pestilenzialischer Gestank	pestilence
abscheulich	pestilentiel
pestilenzialisch	pestilentiel
scheußlich	pestilentiel
Abwiegen	pesée
Druck	pesée
Wiegen	pesée
Furz	pet
Pup	pet
Schmalzgebackene	pet-de-nonne
Schmalzgebäck	pet-de-nonne
Spritzkuchen	pet-de-nonne
kleiner Krapfen	pet-de-nonne
fein	petit
gering	petit
geringfügig	petit
klein	petit
unbedeutend	petit
Tierkind	petit
Welpe	petit
Schnäpschen	petit alcool
Freund	petit ami
Fußbank	petit banc
Fußschemel	petit banc
Schiffchen	petit bateau
Dampfschiff	petit bateau à vapeur
Gehölz	petit bois
Schälchen	petit bol
Schüsselchen	petit bol
Gelegenheitsarbeit	petit boulot
Blumenstrauß	petit bouquet
Blumenstrauß	petit bouquet de fleurs
spießig	petit bourgeois
Schnippel	petit bout
Schnipsel	petit bout
Schnitzel	petit bout
Stummel	petit bout
Dreikäsehoch	petit bout de chou
Espresso	petit café
Chorknabe	petit chanteur
Babyschuh	petit chausson
Ferkel	petit cochon
Päckchen	petit colis
Päckchen	petit colis postal
Schnipser	petit coup de ciseaux
Schnitt	petit coup de ciseaux
Stoß	petit coup de coude
Werbespruch	petit couplet
Cousin	petit cousin
Teufelchen	petit diable
Wicht	petit diable
Wildfang	petit diable
Frühstück	petit déjeuner
Wildfang	petit démon
Frechdachs	petit effronté
frecher Kerl	petit effronté
kleiner Frechdachs	petit effronté
Fleckchen Erde	petit espace
Schlingel	petit galopin
Schlingel	petit garnement
Bübchen	petit garçon
Beigeschmack	petit goût
Stäubchen	petit grain de poussière
Salzgebäck	petit gâteau salé
Frechdachs	petit impertinent
Malheur	petit malheur
Schlauberger	petit malin
durchtriebene Kerl	petit malin
Bröckchen	petit morceau
Fetzen	petit morceau
Schnippel	petit morceau
Schnipsel	petit morceau
Schnitzel	petit morceau
Stück	petit morceau
Stückchen	petit morceau
Schäfchen	petit mouton
Fratz	petit môme
Vöglein	petit oiseau
Brötchen	petit pain
Semmel	petit pain
Biskuitkuchen	petit pain au lait
Päckchen	petit paquet
Bißchen	petit peu
Biese	petit pli
Erbse	petit pois
Sahnegießer	petit pot à crème
Sahnekännchen	petit pot à crème
Wunderkind	petit prodige
Väterchen	petit père
Triefnase	petit rhume de cerveau
Beutel	petit sac
Duseln	petit somme
Dösen	petit somme
Schlummern	petit somme
Dummchen	petit sot
Pack	petit tas
Studiobühne	petit théâtre
Schlummerrolle	petit traversin
Trott	petit trot
Schnapsglas	petit verre
Schnäps	petit verre
Schnäpschen	petit verre
Lausbub	petit voyou
Schlingel	petit voyou
allmählich	petit à petit
im Morgengrauen	petit à petit
mählich	petit à petit
Butterkeks	petit-beurre
kleinbürgerlich	petit-bourgeois
spießbürgerlich	petit-bourgeois
spießig	petit-bourgeois
Kleinbürger	petit-bourgeois
Spießbürger	petit-bourgeois
Spießer	petit-bourgeois
frühstücken	petit-déjeuner
Enkelkind	petit-enfant
Enkel	petit-fils
Enkelkind	petit-fils
Enkelsohn	petit-fils
Feh	petit-gris
Gesprenkelte Weinbergschnecke	petit-gris
Molke	petit-lait
Großneffe	petit-neveu
kleiner Doppelrahmfrischkäse	petit-suisse
runder Doppelrahmfrischkäse	petit-suisse
Freundin	petite amie
Kleinbürgerin	petite bourgeoise
Spießbürgerin	petite bourgeoise
Spießerin	petite bourgeoise
Bläschen	petite bulle
Tausendgüldenkraut	petite centaurée
Zucken	petite contraction soudaine
Zucken	petite convulsion
Schälchen	petite coupe
Schüsselchen	petite coupe
Schnürriemen	petite courroie
Cousine	petite cousine
salziges Hefegebäck	petite crêpe non-sucrée
Teelöffel	petite cuillère
Wildfang	petite diablesse
Schuß	petite dose
freches Ding	petite effrontée
Schlückchen	petite gorgée
Schuß	petite goutte
Geplänkel	petite guerre
Stündchen	petite heure
Frechdachs	petite impertinente
freches Ding	petite impertinente
Schein	petite lueur
Schimmer	petite lueur
Cottage	petite maison
Schlaubergerin	petite maligne
Dachstübchen	petite mansarde
Fratz	petite môme
Bruchteil	petite partie
Zank	petite querelle
Seitenstraße	petite rue
Studiobühne	petite scène
Dummchen	petite sotte
Schwesterchen	petite sœur
Untergröße	petite taille
Städtchen	petite ville
Blattern	petite vérole
Schwämmchen	petite éponge
Enkelin	petite-fille
Enkelkind	petite-fille
Enkeltochter	petite-fille
Großnichte	petite-nièce
beengt	petitement
eng	petitement
kärglich	petitement
kümmerlich	petitement
ärmlich	petitement
Spargroschen	petites économies
Geringfügigkeit	petitesse
Kleinheit	petitesse
Beschränktheit	petitesse d'esprit
Borniertheit	petitesse d'esprit
Engherzigkeit	petitesse d'esprit
Engstirnigkeit	petitesse d'esprit
Gelegenheitsarbeit	petits boulots
Sandgebäck	petits gâteaux sablés
Salzgebäck	petits gâteaux salés
Teegebäck	petits gâteaux secs
Enkel	petits-enfants
Enkelkinder	petits-enfants
Füßchen	peton
gering	peu
geringfügig	peu
schwach	peu
sparsam	peu
wenig	peu
wenig	peu
Bröckchen	peu
Stückchen	peu
begrenzt lieferbar	peu abondant
dürftig	peu abondant
spärlich	peu abondant
unfreundlich	peu accueillant
unfreundlich	peu aimable
unhöflich	peu aimable
bald danach	peu après
kurz danach	peu après
unkünstlerisch	peu artistique
unattraktiv	peu attrayant
unselbständig	peu autonome
unchristlich	peu chrétien
undeutlich	peu clair
verhüllend	peu clair
verschlossen	peu communicatif
ergebnislos	peu concluant
störend	peu confortable
unbehaglich	peu confortable
unbequem	peu confortable
unkomfortabel	peu confortable
unbekannt	peu connu
ungebührlich	peu convenable
unschicklich	peu convenable
unkonventionell	peu conventionnel
Genügsamkeit	peu d'exigences
geringfügig	peu de
wenig	peu de
Seichtheit	peu de profondeur
abgeneigt	peu disposé
unwillig	peu disposé
schlaflos	peu disposé à dormir
taktlos	peu délicat
unfein	peu délicat
skizzenhaft	peu détaillé
abgeneigt	peu enclin
bedürfnislos	peu exigeant
genügsam	peu exigeant
fremd	peu familier
unbekannt	peu familier
demütigend	peu flatteur
erniedrigend	peu flatteur
schütter	peu fourni
selten	peu fréquent
unrühmlich	peu glorieux
unhöflich	peu gracieux
fettarm	peu gras
ungewohnt	peu habitué
ungewohnt	peu habitué à
unhygienisch	peu hygiénique
geruhsam	peu hâtif
gemächlich	peu hêtif
gering	peu important
geringfügig	peu important
unbedeutend	peu important
macht nichts	peu importe
ganz gleich wie	peu importe comment
schwach	peu impuissant
uninteressant	peu intéressant
unbedacht	peu judicieux
unbesonnen	peu judicieux
unklug	peu judicieux
unverständig	peu judicieux
unüberlegt	peu judicieux
engstirnig	peu libéral
unrühmlich	peu louable
brotlos	peu lucratif
beschwerlich	peu maniable
unhandlich	peu maniable
unmelodisch	peu mélodieux
geschraubt	peu naturel
gehaltlos	peu nourissant
gehaltlos	peu nutritif
unsachgemäß	peu objectif
unorthodox	peu orthodoxe
dünn besiedelt	peu peuplé
dünnbesiedelt	peu peuplé
dünnbevölkert	peu peuplé
schwachbesiedelt	peu peuplé
fischarm	peu poissonneux
ungelegen	peu pratique
unhandlich	peu pratique
unpraktisch	peu pratique
schwerlich	peu probable
unwahrscheinlich	peu probable
seicht	peu profond
ungünstig	peu propice
unheilverkündend	peu propice
unheilvoll	peu propice
von böser Vorbedeutung	peu propice
bäuerisch	peu raffiné
unfein	peu raffiné
ungeschliffen	peu raffiné
versöhnlich	peu rancunier
unwirtschaftlich	peu rentable
unpraktisch	peu réaliste
unrealistisch	peu réaliste
unerfreulich	peu réjouissant
unbedacht	peu sage
unbesonnen	peu sage
unklug	peu sage
unüberlegt	peu sage
salzarm	peu salé
unbefriedigend	peu satisfaisant
skrupellos	peu scrupuleux
ziemlich skrupellos	peu scrupuleux
dickfellig	peu sensible
gefühlsarm	peu sensible
unsensibel	peu sensible
geringfügig	peu signifiant
unaufrichtig	peu sincère
flüchtig	peu soigné
schluderig	peu soigné
schludrig	peu soigné
baufällig	peu solide
unstabil	peu solide
wackelig	peu solide
wacklig	peu solide
schwerlöslich	peu soluble
vertrauensselig	peu soupçonneux
witzlos	peu spirituel
unkörperlich	peu substantiel
unsolid	peu sérieux
unsolide	peu sérieux
unsicher	peu sûr
stumpf	peu tranchant
mählich	peu à peu
sacht	peu à peu
sachte	peu à peu
schubweise	peu à peu
unwissend	peu éclairé
unwirtschaftlich	peu économique
geschmacklos	peu élégant
schlampig	peu élégant
unelegant	peu élégant
zu Unrecht	peu équitablement
buh	peuh
Volksstamm	peuplade
Völkerschaft	peuplade
gewöhnlich	peuple
ordinär	peuple
plebejisch	peuple
Bürgerlichen	peuple
Gemeinen	peuple
Volk	peuple
Bergvolk	peuple de montagnards
Brudervolk	peuple frère
Besiedelung	peuplement
Besiedlung	peuplement
Bestand	peuplement
beleben	peupler
besiedeln	peupler
bevölkern	peupler
bewohnen	peupler
mit Fischbrut besetzen	peupler
Pappelpflanzung	peupleraie
Pappel	peuplier
Pappelholz	peuplier
Silberpappel	peuplier argenté
Silberpappel	peuplier blanc
Schwarzpappel	peuplier noir
Angst	peur
Entsetzen	peur
Furcht	peur
Schreck	peur
Schrecken	peur
Examensangst	peur d'examen
Examensangst	peur d'examens
Todesfurcht	peur de la mort
Duckmäuserin	peureuse
Waschlappen	peureuse
Weichling	peureuse
furchtsam	peureux
scheu	peureux
ängstlich	peureux
Duckmäuser	peureux
Feigling	peureux
Waschlappen	peureux
Weichling	peureux
eventuell	peut-être
vielleicht	peut-être
womöglich	peut-être
Warzenschwein	phacochère
Freßzelle	phagocyte
Phagozyt	phagocyte
phagozytieren	phagocyter
schlucken	phagocyter
Finger- Zehenglied	phalange
Fingerglied	phalange
Heerschar	phalange
Schar	phalange
Zehenglied	phalange
Falangist	phalangiste
Phallus	phallique
phallisch	phallique
chauvinistisch	phallo
phallokratisch	phallo
Chauvi	phallo
Chauvinist	phallo
Phallokrat	phallo
chauvinistisch	phallocrate
phallokratisch	phallocrate
Chauvi	phallocrate
Chauvinist	phallocrate
Macho	phallocrate
Phallokrat	phallocrate
Phallus	phallus
Spanner	phalène
phanerogam	phanérogame
Samenpflanze	phanérogame
Blütenpflanzen	phanérogames
Phanerogamen	phanérogames
Samenpflanzen	phanérogames
Pharao	pharaon
Leuchtfeuer	phare
Leuchtturm	phare
Scheinwerfer	phare
Suchscheinwerfer	phare chercheur
Fernlicht	phares de route
pharisäerhaft	pharisaïque
pharisäisch	pharisaïque
selbstgerecht	pharisaïque
Pharisäertum	pharisaïsme
Pharisäer	pharisien
selbstgerechter Mensch	pharisien
Pharisäerin	pharisienne
Sittenpredigerin	pharisienne
Arzneimittel	pharmaceutique
Arzneimittel-	pharmaceutique
pharmazeutisch	pharmaceutique
Apotheke	pharmacie
Arzneien	pharmacie
Arzneimittel	pharmacie
Hausapotheke	pharmacie
Medikamente	pharmacie
Pharmazeutik	pharmacie
Pharmazie	pharmacie
Sanitätskasten	pharmacie de poche
Apotheker	pharmacien
Pharmazeut	pharmacien
Apothekerin	pharmacienne
Pharmazeutin	pharmacienne
Medikamentensucht	pharmacodépendance
Tablettensucht	pharmacodépendance
Arzneimittelkunde	pharmacologie
Pharmakologie	pharmacologie
Dispensatorien	pharmacopée
Dispensatorium	pharmacopée
Pharmakopöe	pharmacopée
amtliches Arzneibuch	pharmacopée
Rachenlaut	pharyngale
Pharyngitis	pharyngite
Rachenentzündung	pharyngite
Pharynx	pharynx
Rachen	pharynx
Schlund	pharynx
Entwicklungsabschnitt	phase
Entwicklungsstufe	phase
Etappe	phase
Phase	phase
Stadium	phase
Station	phase
Stufe	phase
Entwicklungsabschnitt	phase de développement
Entwicklungsstufe	phase de développement
Verarbeitungsstufe	phase de traitement
Schlußphase	phase finale
Schlußstrecke	phase finale
Vorfeld	phase préparatoire
Schlußphase	phase terminale
Schlußstrecke	phase terminale
Gespenstheuschrecke	phasme
Menschenfreund	philanthrope
Menschenfreundin	philanthrope
Philanthrop	philanthrope
Philanthropin	philanthrope
Menschenfreundlichkeit	philanthropie
Menschenliebe	philanthropie
Philanthropie	philanthropie
menschenfreundlich	philanthropique
philanthropisch	philanthropique
Briefmarkenkunde	philatélie
Briefmarkensammlung	philatélie
Markensammlung	philatélie
Philatelie	philatélie
