EFTA	﻿A.E.L.E.
canto	galet
canto rodado	galet
guijarro	galet
piedra	galet
ruedecilla	galet
chabola	galetas
tugurio	galetas
crepe	galette
crepe salada	galette
guita	galette
mosca	galette
panqueque	galette
pasta	galette
pelas	galette
torta	galette
arepa	galette de maïs
taco	galette de maïs
Voir  brebis	galeux
sarnoso	galeux
gallego	galicien
gallego	galicien
gallega	galicienne
desvaríos	galimatias
galimatías	galimatias
galera	galion
galeón	galion
voltereta	galipette
galicismo	gallicisme
gallinácea	gallinacé
galorromano	gallo-romain
galorromano	gallo-romain
galorromana	gallo-romaine
galés	gallois
galés	gallois
galesa	galloise
galón	gallon
zueco	galoche
galón	galon
pasamano	galon
pasamanos	galon
galope	galop
galopada	galopade
galopante	galopant
andar a galope	galoper
correr	galoper
corretear	galoper
galopar	galoper
trotar	galoper
galopín	galopin
pilluelo	galopin
galvanizar	galvaniser
manchar	galvauder
prostituir	galvauder
berenjenal	galère
coña	galère
gaita	galère
galera	galère
palo	galère
galera	galée
cabriola	gambade
voltereta	gambade
correr y brincar	gambader
juguetear	gambader
retozar	gambader
saltar	gambader
triscar	gambader
discurrir	gamberger
pierna	gambette
gambiano	gambien
gambiense	gambien
gambiana	gambien
gambiana	gambienne
gambiana	gambienne
escudilla	gamelle
fiambrera	gamelle
rancho	gamelle
tartera	gamelle
crío	gamin
travieso	gamin
cabro	gamin
chaval	gamin
chavalillo	gamin
chilpayate	gamin
chiquillo	gamin
crío	gamin
escuincle	gamin
gurí	gamin
jovenzuelo	gamin
mocito	gamin
muchachito	gamin
niño	gamin
pibe	gamin
pilluelo	gamin
cabra	gamine
chavala	gamine
chilpayata	gamine
chiquilla	gamine
cría	gamine
escuincla	gamine
gurí	gamine
jovenzuela	gamine
niña	gamine
piba	gamine
pilluela	gamine
chiquillada	gaminerie
muchachada	gaminerie
niñería	gaminerie
travesura	gaminerie
gammaglobulina	gammaglobuline
escala	gamme
espectro	gamme
gama	gamme
serie	gamme
célula sexual	gamète
gameto	gamète
banda	gang
ganglio	ganglion
gangrena	gangrène
atracador	gangster
atracadora	gangster
gángster	gangster
ganga	gangue
tenaza	gangue
malla	gansette
guante	gant
manopla	gant de toilette
aparcamiento	garage
aparcamiento subterráneo	garage
cochera	garage
estacionamiento	garage
garage	garage
garaje	garage
parking	garage
refaccionaria	garage
taller	garage
mecánica	garagiste
mecánico	garagiste
propietaria de un garage	garagiste
propietario de un garage	garagiste
aval	garant
avalador	garant
avalista	garant
fiador	garant
fianza	garant
garante	garant
garantía	garant
avaladora	garante
avalista	garante
fiadora	garante
garante	garante
aval	garantie
fianza	garantie
garantía	garantie
abrigar	garantir
garantizar	garantir
guardar	garantir
preservar	garantir
proteger	garantir
resguardar	garantir
pájara	garce
cuidado	garde
custodia	garde
guarda	garde
guardia	garde
guardiana	garde
guardián	garde
servicio	garde
vigilante	garde
guardaespaldas	garde du corps
guardia de corps	garde du corps
guardia personal	garde du corps
guarda forestal	garde forestier
guardabosque	garde forestier
guardabosques	garde forestier
arresto	garde à vue
detención	garde à vue
detención preventiva	garde à vue
guardabarrera	garde-barrière
aleta	garde-boue
botalodo	garde-boue
guardabarros	garde-boue
salpicadera	garde-boue
guarda de caza	garde-chasse
barandilla	garde-corps
batayola	garde-corps
guardalado	garde-corps
guardacostas	garde-côte
barandilla	garde-fou
batayola	garde-fou
guardalado	garde-fou
pretil	garde-fou
enfermera	garde-malade
enfermero	garde-malade
despensa	garde-manger
guardamuebles	garde-meuble
posaplatos	garde-nappe
salvamanteles	garde-nappe
guarda de pesca	garde-pêche
guardapesca	garde-pêche
armario ropero	garde-robe
guardarropa	garde-robe
ropa	garde-robe
ropero	garde-robe
vestidos	garde-robe
vestuario	garde-robe
posición de firmes	garde-à-vous
conservar	garder
conservarse	garder
cuidar	garder
cuidar de	garder
custodiar	garder
detener	garder
guardar	garder
guardarse	garder
mantener	garder
quedar	garder
quedarse	garder
quedarse con	garder
retener	garder
tener cuidado de	garder
tener retenido	garder
vigilar	garder
guardar	garder en possession
no soltar	garder en possession
quedarse con	garder en possession
mantenerse en equilibrio	garder l'équilibre
callar	garder le silence
callarse	garder le silence
guardar algo para después	garder une poire pour la soif
guardería	garderie
guardería infantil	garderie
guardador	gardeur
guardadora	gardeuse
celador	gardien
conserje	gardien
custodio	gardien
guarda	gardien
guardián	gardien
pastor	gardien
portero	gardien
vigilante	gardien
zagal	gardien
conserje	gardien d'immeuble
pastor	gardien de bestiaux
zagal	gardien de bestiaux
guardameta	gardien de but
meta	gardien de but
portera	gardien de but
portero	gardien de but
guardia	gardien de la paix
policía	gardien de la paix
guardacoches	gardien de parking
carcelero	gardien de prison
celador	gardien de prison
tropero	gardien de vaches
guardia	gardiennage
carcelera	gardienne
celadora	gardienne
conserje	gardienne
guarda	gardienne
guardiana	gardienne
pastora	gardienne
portera	gardienne
vigilante	gardienne
zagala	gardienne
conserje	gardienne d'immeuble
guardacoches	gardienne de parking
carcelera	gardienne de prison
celadora	gardienne de prison
gobio	gardon
gardenia	gardénia
cuidado	gare
ya verás	gare
apeadero	gare
edificio de la estación	gare
estación	gare
aparcar	garer
apartarse	garer
dejar en garaje	garer
estacionar	garer
estacionarse	garer
meter en la cochera	garer
parquear	garer
poner en el garaje	garer
protegerse	garer
hacer gárgaras	gargariser
regodearse	gargariser
gargarismo	gargarisme
gárgara	gargarisme
tasca	gargote
gárgola	gargouille
gorgotear	gargouiller
hacer ruido	gargouiller
diablillo	garnement
granuja	garnement
cubrir	garnir
equipar	garnir
guarnecer	garnir
llenar	garnir
anillar	garnir d'anneaux
enramar	garnir de branchages
guarnición	garnison
accesorios	garniture
acompañamiento	garniture
adorno	garniture
emparedado	garniture
forro	garniture
guarnición	garniture
juego	garniture
recubrimiento	garniture
relleno	garniture
revestimiento	garniture
garriga	garrigue
cruz	garrot
garrote	garrot
torniquete	garrot
amordazar	garrotter
atar	garrotter
chaval	gars
chico	gars
mozo	gars
muchacho	gars
rapaz	gars
tipo	gars
barman	garçon
camarera	garçon
camarero	garçon
camarero principal	garçon
chamaca	garçon
chamaco	garçon
chaval	garçon
chica	garçon
chico	garçon
dependiente	garçon
mancebo	garçon
mozo	garçon
muchacha	garçon
muchacho	garçon
rapaz	garçon
soltero	garçon
zagal	garçon
camarera	garçon d'étage
camarero	garçon d'étage
ordenanza	garçon de bureau
botones	garçon de courses
chico	garçon de courses
marimacho	garçon manqué
niñito	garçonnet
rapaz	garçonnet
rapaza	garçonnet
apartamento	garçonnière
apartamento de soltero	garçonnière
gasoil	gas-oil
gasóleo	gas-oil
gascón	gascon
gascón	gascon
gascona	gasconne
gazpacho	gaspacho
derroche	gaspillage
desperdicio	gaspillage
despilfarro	gaspillage
dilapidación	gaspillage
disipación	gaspillage
dispendio	gaspillage
derrochar	gaspiller
desaprovechar	gaspiller
desparramar	gaspiller
desperdiciar	gaspiller
despilfarrar	gaspiller
dilapidar	gaspiller
disipar	gaspiller
malgastar	gaspiller
prodigar	gaspiller
tirar	gaspiller
malgastador	gaspilleur
manirroto	gaspilleur
malgastadora	gaspilleuse
gástrico	gastrique
gastritis	gastrite
gastroenteritis	gastro-entérite
gastrónoma	gastronome
gastrónomo	gastronome
gastronomía	gastronomie
gastronómico	gastronomique
desmañado	gauche
inepto	gauche
inhábil	gauche
izquierdo	gauche
siniestro	gauche
torpe	gauche
zurdo	gauche
izquierda	gauche
parte izquierda	gauche
desmañadamente	gauchement
ineptamente	gauchement
torpemente	gauchement
zurdo	gaucher
zurdo	gaucher
embarazo	gaucherie
sosería	gaucherie
torpeza	gaucherie
torcer	gauchir
torcerse	gauchir
izquierdoso	gauchisant
izquierdismo	gauchisme
izquierdista	gauchiste
izquierdista	gauchiste
gaucha	gaucho
gaucho	gaucho
zurda	gauchère
barquillo	gaufre
gofre	gaufre
estampar	gaufrer
gofrar	gaufrer
barquillo	gaufrette
caña	gaule
estaca	gaule
poste	gaule
vara	gaule
apalear	gauler
varear	gauler
gaullista	gaulliste
gaullista	gaulliste
galo	gaulois
picaresco	gaulois
pícaro	gaulois
verde	gaulois
galo	gaulois
gala	gauloise
verde	gauloisement
chiste verde	gauloiserie
escabrosidad	gauloiserie
verdura	gauloiserie
mofarse	gausser
cebar	gaver
engordar	gaver
hartar	gaver
cebador	gavé
gay	gay
gay	gay
gas	gaz
butano	gaz butane
gas de escape	gaz d'échappement
gas lacrimógeno	gaz lacrimogène
gas asfixiante	gaz toxique
gas tóxico	gaz toxique
gasa	gaze
gacela	gazelle
carburar	gazer
correr	gazer
gasear	gazer
gaceta	gazette
con gas	gazeux
gaseoso	gazeux
gaseoducto	gazoduc
gasoducto	gazoduc
gasoil	gazole
gasóleo	gazole
gasómetro	gazomètre
césped	gazon
gallón	gazon
tepe	gazon
balbucear	gazouiller
gorjear	gazouiller
trinar	gazouiller
balbuceo	gazouillis
trino	gazouillis
gaélico	gaélique
gaélico	gaélique
despreocupación	gaîté de cœur
frivolidad	gaîté de cœur
arrendajo	geai
machacón	geignard
plañidero	geignard
quejicoso	geignard
quejón	geignard
gemido	geignement
dar la lata	geindre
fastidiar	geindre
gemir	geindre
importunar	geindre
machacar	geindre
bloqueo	gel
congelación	gel
gel	gel
helada	gel
hielo	gel
solidificación	gel
tiempo de helada	gel
bloquear	geler
congelar	geler
helar	geler
helarse	geler
glacial	gelé
gélido	gelé
helado	gelé
álgido	gelé
gel	gelée
gelatina	gelée
helada	gelée
hielo	gelée
jalea	gelée
gema	gemme
piedra preciosa	gemme
sangrar	gemmer
encía	gencive
alguacil	gendarme
gendarme	gendarme
sargento	gendarme
gendarmería	gendarmerie
policía militar	gendarmerie
hijo político	gendre
yerno	gendre
ginebrés	genevois
enebro	genièvre
ginebra	genièvre
falda	genou
rodilla	genou
rodillera	genouillère
clase	genre
especie	genre
estilo	genre
género	genre
suerte	genre
tipo	genre
índole	genre
género humano	genre humain
linaje humano	genre humain
ganado	gens
gente	gens
genciana	gentiane
amable	gentil
atento	gentil
bien educado	gentil
bonachón	gentil
bondadoso	gentil
bueno	gentil
cariñoso	gentil
majo	gentil
simpático	gentil
caballero	gentilhomme
hidalgo	gentilhomme
noble	gentilhomme
amabilidad	gentillesse
atención	gentillesse
bondad	gentillesse
cortesía	gentillesse
cuco	gentillet
encantador	gentillet
mono	gentillet
monín	gentillet
precioso	gentillet
amablement	gentiment
amablemente	gentiment
bien	gentiment
cariñosamente	gentiment
simpáticamente	gentiment
tranquilamente	gentiment
caballero	gentleman
señor	gentleman
génesis	genèse
nacimiento	genèse
origen	genèse
retama	genêt
bouquet	gerbe
chorro	gerbe
gavilla	gerbe
haz	gerbe
ramillete	gerbe
ramo	gerbe
agavillar	gerber
apilar	gerber
echar las papas	gerber
salir formando un haz	gerber
jerbo	gerboise
agrietar	gercer
cortar	gercer
cortarse	gercer
agrietado	gercé
cortado	gercé
carnal	germain
germánico	germain
hermano	germain
germánico	germain
germánica	germaine
germánico	germanique
germánico	germanique
germanista	germaniste
germen	germe
germen infeccioso	germe pathogène
germen patógeno	germe pathogène
virus	germe pathogène
brotar	germer
germinar	germer
nacer	germer
germinación	germination
grieta	gerçure
embarazo	gestation
estado interesante	gestation
gestación	gestation
gravidez	gestation
génesis	gestation
nacimiento	gestation
origen	gestation
preñado	gestation
preñez	gestation
ademán	geste
gesto	geste
movimiento de la mano	geste
mímica	geste
rasgo	geste
gesticulación	gesticulation
pataleo	gesticulation
gesticular	gesticuler
hacer gestos	gesticuler
administración	gestion
gestión	gestion
manejo	gestion
administrador	gestionnaire
gestor	gestionnaire
gestor	gestionnaire
gestora	gestionnaire
driver	gestionnaire de périphérique
gestual	gestuel
gestualidad	gestuelle
géiser	geyser
géyser	geyser
calabozo	geôle
mazmorra	geôle
carcelero	geôlier
carcelera	geôlière
ghanés	ghanéen
ghanés	ghanéen
ghanesa	ghanéenne
ghetto	ghetto
gueto	ghetto
confinamiento en guetos	ghettoïsation
gibón	gibbon
chepa	gibbosité
joroba	gibbosité
zurrón	gibecière
estofado de conejo	gibelotte
horca	gibet
caza	gibier
chubasco	giboulée
rico en caza	giboyeux
chapotear	gicler
salpicar	gicler
salpicar con fuerza	gicler
chicler	gicleur
chiclé	gicleur
chorro	giclée
azote	gifle
bofetada	gifle
bofetón	gifle
cachetada	gifle
cachete	gifle
chuleta	gifle
golpe	gifle
guantada	gifle
guantazo	gifle
mamporro	gifle
torta	gifle
abofetear	gifler
dar una bofetada	gifler
golpear	gifler
gigabyte	giga-octet
ciclópeo	gigantesque
colosal	gigantesque
gigante	gigantesque
gigantesco	gigantesque
gigoló	gigolo
pierna	gigot
pierna de cordero	gigot
menear los pies	gigoter
patalear	gigoter
corporación	gilde
gremio	gilde
chaleco	gilet
chaqueta	gilet
chaqueta de punto	gilet
rebeca	gilet
chaleco salvavidas	gilet de sauvetage
rosquilla	gimblette
gin	gin
ginebra	gin
jengibre	gingembre
gingivitis	gingivite
jirafa	girafe
giro	giration
revolución	giration
rotación	giration
vuelta	giration
giratorio	giratoire
corista	girl
clavo	girofle
alhelí	giroflée
mízcalo	girolle
regazo	giron
seno	giron
gobierna	girouette
veleta	girouette
estatua yacente	gisant
criadero	gisement
yacimiento	gisement
yacimiento petrolífero	gisement de pétrole
gitano	gitan
bohemio	gitan
calé	gitan
cíngaro	gitan
gitano	gitan
bohemia	gitane
calé	gitane
cíngara	gitane
gitana	gitane
escarcha	givre
helada	givre
helada blanca	givre
chalado	givré
helado	givré
entrecejo	glabelle
glabro	glabre
lampi ñ	glabre
lampiño	glabre
sin pelo	glabre
cristal	glace
espejo	glace
helado	glace
hielo	glace
luna	glace
luneta	glace
ventanilla	glace
vidrio	glace
mantecado	glace à la vanille
glasear	glacer
helar	glacer
glacial	glaciaire
glaciar	glaciaire
frío	glacial
glacial	glacial
helado	glacial
álgido	glacial
fríamente	glacialement
glacialmente	glacialement
glaciar	glacier
vendedor	glacier
vendedor de helados	glacier
nevera	glacière
glacial	glacé
glaseado	glacé
gélido	glacé
helado	glacé
álgido	glacé
gladiador	gladiateur
flema	glaire
arcilla	glaise
barro	glaise
espada	glaive
balano	gland
bellota	gland
borla	gland
bálano	gland
capullo	gland
glande	gland
glándula	glande
gandulear	glander
golfear	glander
hacer el vago	glander
golfear	glandouiller
espigar	glaner
chillar	glapir
gañir	glapir
chillido	glapissement
gañido	glapissement
doble	glas
tañido	glas
glaucoma	glaucome
glauco	glauque
lúgubre	glauque
sórdido	glauque
glaseado	glaçage
glacial	glaçant
helado	glaçant
álgido	glaçant
carámbano	glaçon
cubito	glaçon
cubito de hielo	glaçon
témpano	glaçon
vidriado	glaçure
gladiolo	glaïeul
gladíolo	glaïeul
deslizamiento	glissade
patinazo	glissade
resbalón	glissade
escurridizo	glissant
resbaladizo	glissant
resbaloso	glissant
deslizamiento	glissement
desplazamiento	glissement
corrimiento de tierras	glissement de terrain
abejonear	glisser
bisbisar	glisser
bisbisear	glisser
colarse	glisser
correr	glisser
cuchichear	glisser
decir en voz baja	glisser
derrapar	glisser
deslizar	glisser
deslizarse	glisser
desplazarse	glisser
escurrir	glisser
escurrirse	glisser
lanzar	glisser
musitar	glisser
pasar	glisser
patinar	glisser
resbalar	glisser
resbalarse	glisser
susurrar	glisser
tratar por encima	glisser
irse de las manos	glisser des mains
corredera	glissière
riel	glissière
barrera de seguridad	glissière de sécurité
patinadero	glissoire
aproximado	global
aproximativo	global
global	global
globalmente	globalement
globalización	globalisation
internacionalización	globalisation
globalidad	globalité
globo	globe
orbe	globe
trotamundos	globe-trotter
esférico	globulaire
glóbulo	globule
esférico	globuleux
saltón	globuleux
fama	gloire
gloria	gloire
mérito	gloire
nombradía	gloire
orgullo	gloire
renombre	gloire
cenador	gloriette
glorieta	gloriette
pabellón	gloriette
gloriosamente	glorieusement
digno de gloria	glorieux
glorioso	glorieux
ensalzamiento	glorification
exaltación	glorification
glorificación	glorification
celebrar	glorifier
enaltecer	glorifier
encomiar	glorifier
ensalzar	glorifier
exaltar	glorifier
glorificar	glorifier
vanagloria	gloriole
glosa	glose
glosar	gloser
glosario	glossaire
glotis	glotte
gluglú	glouglou
cloqueo	gloussement
risitas	gloussement
cacarear	glousser
cloquear	glousser
reír ahogadamente	glousser
reírse tontamente	glousser
comilón	glouton
glotón	glouton
voraz	glouton
glotón	glouton
comilona	gloutonne
glotona	gloutonne
con glotonería	gloutonnement
con voracidad	gloutonnement
glotonamente	gloutonnement
vorazmente	gloutonnement
avidez	gloutonnerie
codicia	gloutonnerie
glotonería	gloutonnerie
gula	gloutonnerie
liga	glu
mucilaginoso	gluant
pegadizo	gluant
pegajoso	gluant
pringoso	gluant
untoso	gluant
untuoso	gluant
glúcido	glucide
dextroglucosa	glucose
glucosa	glucose
gluten	gluten
glicina	glycine
glucemia	glycémie
glicerina	glycérine
glena	glène
ñoña	gnangnan
ñoño	gnangnan
aguardiente	gniole
duende	gnome
enana	gnome
enano	gnome
gnomo	gnome
cate	gnon
leche	gnon
mamporro	gnon
porrazo	gnon
trastazo	gnon
corza	gnou
gnu	gnou
ñu	gnou
aguardiente	gnôle
portero	goal
papamoscas	gobe-mouches
cubilete	gobelet
taza	gobelet
vaso	gobelet
vaso de cerámica	gobelet
sorber	gober
tragarse	gober
zapato	godasse
cortadillo	godet
pliegue	godet
chambón	godiche
desmanotado	godiche
desmañado	godiche
torpe	godiche
pava	godiche
pavo	godiche
soseras	godichon
soseras	godichonne
cinglar	godiller
hacer bédel	godiller
burlón	goguenard
guasón	goguenard
sorna	goguenardise
tragón	goinfre
comilón	goinfre
glotón	goinfre
tragaldabas	goinfre
tragona	goinfre
tragón	goinfre
voraz	goinfre
zampón	goinfre
bocio	goitre
papera	goitre
manzana golden	golden
golf	golf
golfo	golfe
seno	golfe
golfista	golfeur
golfista	golfeuse
gomina	gomina
borradura	gommage
engomado	gommage
limpieza	gommage
borrador	gomme
caucho	gomme
goma	gomme
goma de borrar	gomme
gominola	gomme
pastilla	gomme
pastilla de goma	gomme
borrar	gommer
engomar	gommer
muñeco	gommeux
engomado	gommé
bisagra	gond
gozne	gond
góndola	gondole
abarquillar	gondoler
combarse	gondoler
gondolero	gondolier
hinchable	gonflable
inflable	gonflable
abotagarse	gonfler
abotargarse	gonfler
abultar	gonfler
extraer con bomba	gonfler
henchir	gonfler
hinchar	gonfler
hincharse	gonfler
inflar	gonfler
inflarse	gonfler
soplar	gonfler
envanecer	gonfler d'orgueil
bomba	gonfleur
bomba de aire	gonfleur
inflador	gonfleur
abotagado	gonflé
abotargado	gonflé
atrevido	gonflé
caradura	gonflé
hinchado	gonflé
tumefacto	gonflé
caradura	gonflée
batintín	gong
gong	gong
gongo	gong
titi	gonzesse
tía	gonzesse
gore	gore
gorrina	goret
gorrino	goret
cuello	gorge
desfiladero	gorge
garganta	gorge
pecho	gorge
pechos	gorge
senos	gorge
ubre	gorge
cebar	gorger
colmar	gorger
saturar	gorger
bocanada	gorgée
sorbo	gorgée
trago	gorgée
gorila	gorille
guarura	gorille
garganta	gosier
gaznate	gosier
chamaca	gosse
chamaco	gosse
chaval	gosse
chavala	gosse
chavalillo	gosse
chiquillo	gosse
chiquito	gosse
chiquitín	gosse
mocito	gosse
muchachito	gosse
gótico	gothique
estilo gótico	gothique
gótica	gothique
gótico	gothique
aguada	gouache
guache	gouache
guasa	gouaille
alquitrán	goudron
asfaltado	goudron
asfalto	goudron
brea	goudron
alquitranar	goudronner
asfaltar	goudronner
abismo	gouffre
despeñadero	gouffre
pozo	gouffre
pozo sin fondo	gouffre
precipicio	gouffre
remolino	gouffre
sima	gouffre
torbellino	gouffre
vorágine	gouffre
patán	goujat
grosero	goujat
patán	goujat
puerca	goujat
puerco	goujat
patanería	goujaterie
cadoce	goujon
clavija	goujon
espiga	goujon
estaquilla	goujon
gobio	goujon
bocana	goulet
desfiladero	goulet
garganta	goulet
cuello	goulot
gollete	goulot
glotón	goulu
tragón	goulu
voraz	goulu
tragón	goulu
tragona	goulue
bocado	goulée
sorbo	goulée
trago	goulée
con glotonería	goulûment
con voracidad	goulûment
glotonamente	goulûment
vorazmente	goulûment
ávidamente	goulûment
chaveta	goupille
clavija	goupille
espiga	goupille
estaquilla	goupille
apañar	goupiller
montarse	goupiller
escobilla	goupillon
hisopo	goupillon
entumecido	gourd
zoquete	gourde
cantimplora	gourde
zoquete	gourde
cachiporra	gourdin
estaca	gourdin
garrota	gourdin
garrote	gourdin
macana	gourdin
porra	gourdin
goloso	gourmand
goloso	gourmand
golosa	gourmande
glotonería	gourmandise
gollería	gourmandise
golosina	gourmandise
regalo del paladar	gourmandise
gastrónomo	gourmet
gourmet	gourmet
gurmet	gourmet
ajorca	gourmette
brazalete	gourmette
esclava	gourmette
pulsera	gourmette
ceremonioso	gourmé
etiquetero	gourmé
formal	gourmé
guru	gourou
gurú	gourou
cáscara	gousse
legumbre	gousse
vaina	gousse
diente	gousse d'ail
bolsillo	gousset
gota	goutte
chupito	goutte
gota	goutte
pizca	goutte
gota de agua	goutte d'eau
gota de lluvia	goutte de pluie
gota a gota	goutte-à-goutte
chispa	gouttelette
gotita	gouttelette
chorrear	goutter
gotear	goutter
artrítico	goutteux
gotoso	goutteux
canal	gouttière
canalón	gouttière
entablillado	gouttière
gotera	gouttière
tablilla	gouttière
manillar	gouvernail
timón	gouvernail
volante	gouvernail
gobernador	gouvernant
gobernante	gouvernant
gobernador	gouvernant
gobernante	gouvernant
ama	gouvernante
ama de llaves	gouvernante
aya	gouvernante
gobernadora	gouvernante
gobernanta	gouvernante
institutriz	gouvernante
gobierno	gouverne
mecanismo de dirección	gouverne
timón	gouverne
forma de gobierno	gouvernement
gabinete	gouvernement
gobernación	gouvernement
gobierno	gouvernement
reinado	gouvernement
del gobierno	gouvernemental
gubernamental	gouvernemental
gubernativo	gouvernemental
progubernamental	gouvernemental
administrar	gouverner
dirigir	gouverner
gobernar	gouverner
regir	gouverner
reinar	gouverner
gobernador	gouverneur
gobernadora	gouverneur
guayaba	goyave
guayabo	goyavier
gaviota	goéland
goleta	goélette
fuco en Bretaña y Normandía	goémon
afición	goût
estilo	goût
gracia	goût
gusto	goût
inclinación	goût
paladar	goût
sabor	goût
dulzor	goût sucré
dulzura	goût sucré
merienda	goûter
apreciar	goûter
catar	goûter
deleitarse con	goûter
deleitarse en	goûter
disfrutar	goûter
disfrutar de	goûter
gozar de	goûter
gustar	goûter
merendar	goûter
paladear	goûter
probar	goûter
saborear	goûter
encamado	grabataire
enferma encamada	grabataire
enfermo encamado	grabataire
cisco	grabuge
follón	grabuge
fregado	grabuge
gresca	grabuge
mitote	grabuge
zipizape	grabuge
conceder el indulto	gracier
indultar	gracier
perdonar	gracier
agraciadamente	gracieusement
airosamente	gracieusement
con elegancia	gracieusement
con gracia	gracieusement
elegantemente	gracieusement
garbosamente	gracieusement
graciosamente	gracieusement
gratuitamente	gracieusement
agraciado	gracieux
airoso	gracieux
atrayente	gracieux
elegante	gracieux
encantador	gracieux
garboso	gracieux
gracioso	gracieux
grácil	gracieux
lleno de gracia	gracieux
delgado	gracile
fino	gracile
grácil	gracile
gradación	gradation
grado	grade
graduación	grade
escalón	gradin
grada	gradin
gradería	gradin
parata	gradin
tendido	gradin
terraza	gradin
graduación	graduation
gradual	graduel
gradualmente	graduellement
paulatinamente	graduellement
poco a poco	graduellement
graduar	graduer
graduado	gradué
gradual	gradué
suboficial	gradé
suboficial	gradé
suboficial	gradée
graffiti	graffiti
grafiti	graffiti
pintada	graffiti
fritanga	graillon
abalorio	grain
chaparrón	grain
cuenta	grain
grano	grain
semilla	grain
simiente	grain
angioma	grain de beauté
lunar	grain de beauté
grano de café	grain de café
uva	grain de raisin
grano	graine
semilla	graine
simiente	graine
pipa	graine de tournesol
vendedor	grainetier
vendedora	grainetière
engrase	graissage
chicha	graisse
grasa	graisse
lubricante	graisse
manteca	graisse
pringue	graisse
sebo	graisse
aceitar	graisser
engrasar	graisser
lubricar	graisser
lubrificar	graisser
manchar de grasa	graisser
comprar	graisser la patte à
corromper	graisser la patte à
sobornar	graisser la patte à
untar	graisser la patte à
de grasa	graisseux
grasiento	graisseux
pringoso	graisseux
gramínea	graminacée
gramínea	graminée
hierba	graminée
yerba	graminée
gramática	grammaire
gramático	grammairien
gramática	grammairienne
gramatical	grammatical
gramático	grammatical
gramaticalmente	grammaticalement
gramo	gramme
gramófono	gramophone
tocadiscos	gramophone
alto	grand
amplio	grand
crecido	grand
distinguido	grand
eminente	grand
espacioso	grand
gran	grand
grande	grand
grueso	grand
largo	grand
magno	grand
mayor	grand
supremo	grand
voluminoso	grand
gran figura	grand
grande	grand
mayor	grand
persona mayor	grand
aparato	grand apparat
fasto	grand apparat
fausto	grand apparat
suntuosidad	grand apparat
alharaca	grand bruit
aspavientos	grand bruit
mucho bombo	grand bruit
arcón	grand coffre
empujón	grand coup
madrazo	grand coup
dormilón	grand dormeur
complejo	grand ensemble
fraccionamiento	grand ensemble
urbanización	grand ensemble
caza mayor	grand fauve
chicarrona	grand garçon
chicarrón	grand garçon
montaña rusa	grand huit
almacén	grand magasin
mandamás	grand manitou
limpieza general	grand nettoyage
sinfín	grand nombre
sinnúmero	grand nombre
mandamás	grand patron
gustazo	grand plaisir
para el gran público	grand public
vendaval	grand vent
espárrago	grand échalas
fideo	grand échalas
gran angular	grand-angle
poca cosa	grand-chose
abuela	grand-maman
yaya	grand-maman
abuela	grand-mère
abuelita	grand-mère
abuelo	grand-mère
nana	grand-mère
yaya	grand-mère
abuelito	grand-papa
abuelo	grand-papa
yayo	grand-papa
abuela	grand-père
abuelito	grand-père
abuelo	grand-père
papá grande	grand-père
yayo	grand-père
gran	grande
gran figura	grande
mayor	grande
persona mayor	grande
barracón	grande baraque
manto	grande cape
canasto	grande corbeille
chicarrona	grande fille
chicarrón	grande fille
bocazas	grande gueule
alborozo	grande joie
lamparón	grande lampe
grandullona	grande perche
grandullón	grande perche
pendona	grande perche
pendón	grande perche
noria	grande roue
noria gigante	grande roue
hipermercado	grande surface
supermercado	grande surface
urbe	grande ville
escuela superior	grande école
altamente	grandement
de sobra	grandement
en alto grado	grandement
en gran manera	grandement
en gran medida	grandement
en sumo grado	grandement
espaciosamente	grandement
grandemente	grandement
mucho	grandement
mayor	grandes personnes
veraneo	grandes vacances
grandeza	grandesse
dimensiones	grandeur
grandeza	grandeur
magnitud	grandeur
tamaño	grandeur
generosidad	grandeur d'âme
gran corazón	grandeur d'âme
grandeza de alma	grandeur d'âme
magnanimidad	grandeur d'âme
grandilocuente	grandiloquent
estupendo	grandiose
fantástico	grandiose
gran	grandiose
grandioso	grandiose
impresionante	grandiose
ampliar	grandir
crecer	grandir
criar	grandir
desarrollar	grandir
engrandecer	grandir
hacer más alto	grandir
parecer más alto	grandir
creciente	grandissant
abuelos	grands-parents
cobertizo	grange
granero	grange
granito	granit
granito	granite
granuloso	granité
granizada	granité
granizado	granité
paño	granité
gránulo	granule
píldora	granule
granular	granuleux
granuloso	granuleux
granulado	granulé
granulado	granulé
grafo	graphe
grafía	graphie
gráfico	graphique
dibujo gráfico	graphique
gráfica	graphique
gráfico	graphique
gráficamente	graphiquement
grafismo	graphisme
grafista	graphiste
grafito	graphite
grafología	graphologie
grafóloga	graphologue
grafólogo	graphologue
grappa	grappa
racimo	grappe
gentío	grappe humaine
muchedumbre	grappe humaine
multitud	grappe humaine
arañar	grappiller
rebuscar	grappiller
recoger	grappiller
sacar	grappiller
gajo	grappillon
rezón	grappin
rizón	grappin
atocinado	gras
blando	gras
carnoso	gras
cazalloso	gras
craso	gras
fértil	gras
gordo	gras
grasiento	gras
graso	gras
grosero	gras
grueso	gras
mantecoso	gras
pastoso	gras
pringoso	gras
gordo	gras
grasa	gras
negrita	gras
pantorrilla	gras
tocino	gras
callos	gras-double
generosamente	grassement
